,frame_pos,thresh_num,mid,tp,fp,px_err,norm_err,confidence,frame_is_rally
0,0,0,15.0,0,1,15.143913047455031,0.011831182068324243,0.9318625330924988,0
1,0,0,15.0,0,1,22.998661515145002,0.017967704308707033,0.719173014163971,0
2,0,0,15.0,0,1,469.8133284123054,0.3670416628221136,0.6774722933769226,0
3,0,0,15.0,0,1,493.18245476941763,0.3852987927886075,0.3541565239429474,0
4,0,0,16.0,0,1,3.2802637637558703,0.0025627060654342735,0.8958635926246643,0
5,0,0,16.0,0,1,26.981781448099436,0.021079516756327684,0.8717573285102844,0
6,0,0,16.0,0,1,473.0792928674042,0.3695931975526595,0.5618573427200317,0
7,0,1,15.0,0,1,15.143913047455031,0.011831182068324243,0.9318625330924988,0
8,0,1,15.0,0,1,22.998661515145002,0.017967704308707033,0.719173014163971,0
9,0,1,15.0,0,1,469.8133284123054,0.3670416628221136,0.6774722933769226,0
10,0,1,15.0,0,1,493.18245476941763,0.3852987927886075,0.3541565239429474,0
11,0,1,16.0,1,0,3.2802637637558703,0.0025627060654342735,0.8958635926246643,0
12,0,1,16.0,0,1,26.981781448099436,0.021079516756327684,0.8717573285102844,0
13,0,1,16.0,0,1,510.5890783996011,0.39889771749968833,0.5618573427200317,0
14,0,2,15.0,0,1,15.143913047455031,0.011831182068324243,0.9318625330924988,0
15,0,2,15.0,0,1,22.998661515145002,0.017967704308707033,0.719173014163971,0
16,0,2,15.0,0,1,469.8133284123054,0.3670416628221136,0.6774722933769226,0
17,0,2,15.0,0,1,493.18245476941763,0.3852987927886075,0.3541565239429474,0
18,0,2,16.0,1,0,3.2802637637558703,0.0025627060654342735,0.8958635926246643,0
19,0,2,16.0,0,1,26.981781448099436,0.021079516756327684,0.8717573285102844,0
20,0,2,16.0,0,1,510.5890783996011,0.39889771749968833,0.5618573427200317,0
21,0,3,15.0,0,1,15.143913047455031,0.011831182068324243,0.9318625330924988,0
22,0,3,15.0,0,1,22.998661515145002,0.017967704308707033,0.719173014163971,0
23,0,3,15.0,0,1,469.8133284123054,0.3670416628221136,0.6774722933769226,0
24,0,3,15.0,0,1,493.18245476941763,0.3852987927886075,0.3541565239429474,0
25,0,3,16.0,1,0,3.2802637637558703,0.0025627060654342735,0.8958635926246643,0
26,0,3,16.0,0,1,26.981781448099436,0.021079516756327684,0.8717573285102844,0
27,0,3,16.0,0,1,510.5890783996011,0.39889771749968833,0.5618573427200317,0
28,0,4,15.0,1,0,15.143913047455031,0.011831182068324243,0.9318625330924988,0
29,0,4,15.0,0,1,22.998661515145002,0.017967704308707033,0.719173014163971,0
30,0,4,15.0,0,1,469.8133284123054,0.3670416628221136,0.6774722933769226,0
31,0,4,15.0,0,1,493.18245476941763,0.3852987927886075,0.3541565239429474,0
32,0,4,16.0,1,0,3.2802637637558703,0.0025627060654342735,0.8958635926246643,0
33,0,4,16.0,0,1,26.981781448099436,0.021079516756327684,0.8717573285102844,0
34,0,4,16.0,0,1,510.5890783996011,0.39889771749968833,0.5618573427200317,0
35,0,5,15.0,1,0,15.143913047455031,0.011831182068324243,0.9318625330924988,0
36,0,5,15.0,1,0,22.998661515145002,0.017967704308707033,0.719173014163971,0
37,0,5,15.0,0,1,469.8133284123054,0.3670416628221136,0.6774722933769226,0
38,0,5,15.0,0,1,493.18245476941763,0.3852987927886075,0.3541565239429474,0
39,0,5,16.0,1,0,3.2802637637558703,0.0025627060654342735,0.8958635926246643,0
40,0,5,16.0,0,1,26.981781448099436,0.021079516756327684,0.8717573285102844,0
41,0,5,16.0,0,1,510.5890783996011,0.39889771749968833,0.5618573427200317,0
42,0,6,15.0,1,0,15.143913047455031,0.011831182068324243,0.9318625330924988,0
43,0,6,15.0,1,0,22.998661515145002,0.017967704308707033,0.719173014163971,0
44,0,6,15.0,0,1,469.8133284123054,0.3670416628221136,0.6774722933769226,0
45,0,6,15.0,0,1,493.18245476941763,0.3852987927886075,0.3541565239429474,0
46,0,6,16.0,1,0,3.2802637637558703,0.0025627060654342735,0.8958635926246643,0
47,0,6,16.0,1,0,26.981781448099436,0.021079516756327684,0.8717573285102844,0
48,0,6,16.0,0,1,510.5890783996011,0.39889771749968833,0.5618573427200317,0
49,0,7,15.0,1,0,15.143913047455031,0.011831182068324243,0.9318625330924988,0
50,0,7,15.0,1,0,22.998661515145002,0.017967704308707033,0.719173014163971,0
51,0,7,15.0,0,1,469.8133284123054,0.3670416628221136,0.6774722933769226,0
52,0,7,15.0,0,1,493.18245476941763,0.3852987927886075,0.3541565239429474,0
53,0,7,16.0,1,0,3.2802637637558703,0.0025627060654342735,0.8958635926246643,0
54,0,7,16.0,1,0,26.981781448099436,0.021079516756327684,0.8717573285102844,0
55,0,7,16.0,0,1,510.5890783996011,0.39889771749968833,0.5618573427200317,0
56,0,8,15.0,1,0,15.143913047455031,0.011831182068324243,0.9318625330924988,0
57,0,8,15.0,1,0,22.998661515145002,0.017967704308707033,0.719173014163971,0
58,0,8,15.0,0,1,469.8133284123054,0.3670416628221136,0.6774722933769226,0
59,0,8,15.0,0,1,493.18245476941763,0.3852987927886075,0.3541565239429474,0
60,0,8,16.0,1,0,35.456882744191375,0.02770068964389951,0.8958635926246643,0
61,0,8,16.0,1,0,26.981781448099436,0.021079516756327684,0.8717573285102844,0
62,0,8,16.0,0,1,473.0792928674042,0.3695931975526595,0.5618573427200317,0
63,0,9,15.0,1,0,15.143913047455031,0.011831182068324243,0.9318625330924988,0
64,0,9,15.0,1,0,22.998661515145002,0.017967704308707033,0.719173014163971,0
65,0,9,15.0,0,1,469.8133284123054,0.3670416628221136,0.6774722933769226,0
66,0,9,15.0,0,1,493.18245476941763,0.3852987927886075,0.3541565239429474,0
67,0,9,16.0,1,0,35.456882744191375,0.02770068964389951,0.8958635926246643,0
68,0,9,16.0,1,0,26.981781448099436,0.021079516756327684,0.8717573285102844,0
69,0,9,16.0,0,1,473.0792928674042,0.3695931975526595,0.5618573427200317,0
70,0,10,15.0,1,0,15.143913047455031,0.011831182068324243,0.9318625330924988,0
71,0,10,15.0,1,0,22.998661515145002,0.017967704308707033,0.719173014163971,0
72,0,10,15.0,0,1,469.8133284123054,0.3670416628221136,0.6774722933769226,0
73,0,10,15.0,0,1,493.18245476941763,0.3852987927886075,0.3541565239429474,0
74,0,10,16.0,1,0,35.456882744191375,0.02770068964389951,0.8958635926246643,0
75,0,10,16.0,1,0,26.981781448099436,0.021079516756327684,0.8717573285102844,0
76,0,10,16.0,0,1,473.0792928674042,0.3695931975526595,0.5618573427200317,0
77,1,0,15.0,0,1,7.7392942710265515,0.006046323649239493,0.9379227757453918,0
78,1,0,15.0,0,1,35.306805017306395,0.02758344141977062,0.5137134790420532,0
79,1,0,15.0,0,1,451.75687215920107,0.35293505637437583,0.6961706280708313,0
80,1,0,16.0,0,1,14.601621340494832,0.011407516672261588,0.9194799065589905,0
81,1,0,16.0,0,1,52.613328966542284,0.04110416325511116,0.5187211632728577,0
82,1,0,16.0,0,1,447.47314656601765,0.3495883957547013,0.5185933113098145,0
83,1,1,15.0,0,1,7.7392942710265515,0.006046323649239493,0.9379227757453918,0
84,1,1,15.0,0,1,35.306805017306395,0.02758344141977062,0.5137134790420532,0
85,1,1,15.0,0,1,451.75687215920107,0.35293505637437583,0.6961706280708313,0
86,1,1,16.0,0,1,14.601621340494832,0.011407516672261588,0.9194799065589905,0
87,1,1,16.0,0,1,52.613328966542284,0.04110416325511116,0.5187211632728577,0
88,1,1,16.0,0,1,447.47314656601765,0.3495883957547013,0.5185933113098145,0
89,1,2,15.0,1,0,7.7392942710265515,0.006046323649239493,0.9379227757453918,0
90,1,2,15.0,0,1,35.306805017306395,0.02758344141977062,0.5137134790420532,0
91,1,2,15.0,0,1,451.75687215920107,0.35293505637437583,0.6961706280708313,0
92,1,2,16.0,0,1,14.601621340494832,0.011407516672261588,0.9194799065589905,0
93,1,2,16.0,0,1,52.613328966542284,0.04110416325511116,0.5187211632728577,0
94,1,2,16.0,0,1,447.47314656601765,0.3495883957547013,0.5185933113098145,0
95,1,3,15.0,1,0,7.7392942710265515,0.006046323649239493,0.9379227757453918,0
96,1,3,15.0,0,1,35.306805017306395,0.02758344141977062,0.5137134790420532,0
97,1,3,15.0,0,1,451.75687215920107,0.35293505637437583,0.6961706280708313,0
98,1,3,16.0,1,0,14.601621340494832,0.011407516672261588,0.9194799065589905,0
99,1,3,16.0,0,1,52.613328966542284,0.04110416325511116,0.5187211632728577,0
100,1,3,16.0,0,1,447.47314656601765,0.3495883957547013,0.5185933113098145,0
101,1,4,15.0,1,0,7.7392942710265515,0.006046323649239493,0.9379227757453918,0
102,1,4,15.0,0,1,35.306805017306395,0.02758344141977062,0.5137134790420532,0
103,1,4,15.0,0,1,451.75687215920107,0.35293505637437583,0.6961706280708313,0
104,1,4,16.0,1,0,14.601621340494832,0.011407516672261588,0.9194799065589905,0
105,1,4,16.0,0,1,52.613328966542284,0.04110416325511116,0.5187211632728577,0
106,1,4,16.0,0,1,447.47314656601765,0.3495883957547013,0.5185933113098145,0
107,1,5,15.0,1,0,7.7392942710265515,0.006046323649239493,0.9379227757453918,0
108,1,5,15.0,0,1,35.306805017306395,0.02758344141977062,0.5137134790420532,0
109,1,5,15.0,0,1,451.75687215920107,0.35293505637437583,0.6961706280708313,0
110,1,5,16.0,1,0,14.601621340494832,0.011407516672261588,0.9194799065589905,0
111,1,5,16.0,0,1,52.613328966542284,0.04110416325511116,0.5187211632728577,0
112,1,5,16.0,0,1,447.47314656601765,0.3495883957547013,0.5185933113098145,0
113,1,6,15.0,1,0,7.7392942710265515,0.006046323649239493,0.9379227757453918,0
114,1,6,15.0,0,1,35.306805017306395,0.02758344141977062,0.5137134790420532,0
115,1,6,15.0,0,1,451.75687215920107,0.35293505637437583,0.6961706280708313,0
116,1,6,16.0,1,0,14.601621340494832,0.011407516672261588,0.9194799065589905,0
117,1,6,16.0,0,1,52.613328966542284,0.04110416325511116,0.5187211632728577,0
118,1,6,16.0,0,1,447.47314656601765,0.3495883957547013,0.5185933113098145,0
119,1,7,15.0,1,0,7.7392942710265515,0.006046323649239493,0.9379227757453918,0
120,1,7,15.0,0,1,35.306805017306395,0.02758344141977062,0.5137134790420532,0
121,1,7,15.0,0,1,451.75687215920107,0.35293505637437583,0.6961706280708313,0
122,1,7,16.0,1,0,32.31671436366384,0.025247433096612374,0.9194799065589905,0
123,1,7,16.0,0,1,52.613328966542284,0.04110416325511116,0.5187211632728577,0
124,1,7,16.0,0,1,447.47314656601765,0.3495883957547013,0.5185933113098145,0
125,1,8,15.0,1,0,7.7392942710265515,0.006046323649239493,0.9379227757453918,0
126,1,8,15.0,1,0,35.306805017306395,0.02758344141977062,0.5137134790420532,0
127,1,8,15.0,0,1,451.75687215920107,0.35293505637437583,0.6961706280708313,0
128,1,8,16.0,1,0,32.31671436366384,0.025247433096612374,0.9194799065589905,0
129,1,8,16.0,0,1,52.613328966542284,0.04110416325511116,0.5187211632728577,0
130,1,8,16.0,0,1,447.47314656601765,0.3495883957547013,0.5185933113098145,0
131,1,9,15.0,1,0,7.7392942710265515,0.006046323649239493,0.9379227757453918,0
132,1,9,15.0,1,0,35.306805017306395,0.02758344141977062,0.5137134790420532,0
133,1,9,15.0,0,1,451.75687215920107,0.35293505637437583,0.6961706280708313,0
134,1,9,16.0,1,0,32.31671436366384,0.025247433096612374,0.9194799065589905,0
135,1,9,16.0,0,1,52.613328966542284,0.04110416325511116,0.5187211632728577,0
136,1,9,16.0,0,1,447.47314656601765,0.3495883957547013,0.5185933113098145,0
137,1,10,15.0,1,0,7.7392942710265515,0.006046323649239493,0.9379227757453918,0
138,1,10,15.0,1,0,35.306805017306395,0.02758344141977062,0.5137134790420532,0
139,1,10,15.0,0,1,451.75687215920107,0.35293505637437583,0.6961706280708313,0
140,1,10,16.0,1,0,32.31671436366384,0.025247433096612374,0.9194799065589905,0
141,1,10,16.0,0,1,52.613328966542284,0.04110416325511116,0.5187211632728577,0
142,1,10,16.0,0,1,447.47314656601765,0.3495883957547013,0.5185933113098145,0
143,2,0,15.0,0,1,31.871166107101786,0.02489934852117327,0.9476634860038757,1
144,2,0,15.0,0,1,30.17432056185211,0.02357368793894696,0.918721616268158,1
145,2,0,15.0,0,1,439.030022320103,0.3429922049375805,0.7221925258636475,1
146,2,0,15.0,0,1,500.46084319144757,0.3909850337433184,0.01904905028641224,1
147,2,0,16.0,0,1,20.39164346971685,0.01593097146071629,0.9552610516548157,1
148,2,0,16.0,0,1,27.524266710417592,0.021503333367513745,0.8688520789146423,1
149,2,0,16.0,0,1,568.7603166053224,0.4443439973479081,0.007079130504280329,1
150,2,0,16.0,0,1,432.82133989175645,0.33814167179043475,0.5419618487358093,1
151,2,1,15.0,0,1,31.871166107101786,0.02489934852117327,0.9476634860038757,1
152,2,1,15.0,0,1,30.17432056185211,0.02357368793894696,0.918721616268158,1
153,2,1,15.0,0,1,439.030022320103,0.3429922049375805,0.7221925258636475,1
154,2,1,15.0,0,1,500.46084319144757,0.3909850337433184,0.01904905028641224,1
155,2,1,16.0,0,1,20.39164346971685,0.01593097146071629,0.9552610516548157,1
156,2,1,16.0,0,1,27.524266710417592,0.021503333367513745,0.8688520789146423,1
157,2,1,16.0,0,1,568.7603166053224,0.4443439973479081,0.007079130504280329,1
158,2,1,16.0,0,1,432.82133989175645,0.33814167179043475,0.5419618487358093,1
159,2,2,15.0,0,1,31.871166107101786,0.02489934852117327,0.9476634860038757,1
160,2,2,15.0,0,1,30.17432056185211,0.02357368793894696,0.918721616268158,1
161,2,2,15.0,0,1,439.030022320103,0.3429922049375805,0.7221925258636475,1
162,2,2,15.0,0,1,500.46084319144757,0.3909850337433184,0.01904905028641224,1
163,2,2,16.0,0,1,20.39164346971685,0.01593097146071629,0.9552610516548157,1
164,2,2,16.0,0,1,27.524266710417592,0.021503333367513745,0.8688520789146423,1
165,2,2,16.0,0,1,568.7603166053224,0.4443439973479081,0.007079130504280329,1
166,2,2,16.0,0,1,432.82133989175645,0.33814167179043475,0.5419618487358093,1
167,2,3,15.0,0,1,31.871166107101786,0.02489934852117327,0.9476634860038757,1
168,2,3,15.0,0,1,30.17432056185211,0.02357368793894696,0.918721616268158,1
169,2,3,15.0,0,1,439.030022320103,0.3429922049375805,0.7221925258636475,1
170,2,3,15.0,0,1,500.46084319144757,0.3909850337433184,0.01904905028641224,1
171,2,3,16.0,0,1,20.39164346971685,0.01593097146071629,0.9552610516548157,1
172,2,3,16.0,0,1,27.524266710417592,0.021503333367513745,0.8688520789146423,1
173,2,3,16.0,0,1,568.7603166053224,0.4443439973479081,0.007079130504280329,1
174,2,3,16.0,0,1,432.82133989175645,0.33814167179043475,0.5419618487358093,1
175,2,4,15.0,0,1,31.871166107101786,0.02489934852117327,0.9476634860038757,1
176,2,4,15.0,0,1,30.17432056185211,0.02357368793894696,0.918721616268158,1
177,2,4,15.0,0,1,439.030022320103,0.3429922049375805,0.7221925258636475,1
178,2,4,15.0,0,1,500.46084319144757,0.3909850337433184,0.01904905028641224,1
179,2,4,16.0,0,1,20.39164346971685,0.01593097146071629,0.9552610516548157,1
180,2,4,16.0,0,1,27.524266710417592,0.021503333367513745,0.8688520789146423,1
181,2,4,16.0,0,1,568.7603166053224,0.4443439973479081,0.007079130504280329,1
182,2,4,16.0,0,1,432.82133989175645,0.33814167179043475,0.5419618487358093,1
183,2,5,15.0,0,1,31.871166107101786,0.02489934852117327,0.9476634860038757,1
184,2,5,15.0,0,1,30.17432056185211,0.02357368793894696,0.918721616268158,1
185,2,5,15.0,0,1,439.030022320103,0.3429922049375805,0.7221925258636475,1
186,2,5,15.0,0,1,500.46084319144757,0.3909850337433184,0.01904905028641224,1
187,2,5,16.0,1,0,20.39164346971685,0.01593097146071629,0.9552610516548157,1
188,2,5,16.0,0,1,27.524266710417592,0.021503333367513745,0.8688520789146423,1
189,2,5,16.0,0,1,568.7603166053224,0.4443439973479081,0.007079130504280329,1
190,2,5,16.0,0,1,432.82133989175645,0.33814167179043475,0.5419618487358093,1
191,2,6,15.0,0,1,31.871166107101786,0.02489934852117327,0.9476634860038757,1
192,2,6,15.0,0,1,30.17432056185211,0.02357368793894696,0.918721616268158,1
193,2,6,15.0,0,1,439.030022320103,0.3429922049375805,0.7221925258636475,1
194,2,6,15.0,0,1,500.46084319144757,0.3909850337433184,0.01904905028641224,1
195,2,6,16.0,1,0,20.39164346971685,0.01593097146071629,0.9552610516548157,1
196,2,6,16.0,1,0,27.524266710417592,0.021503333367513745,0.8688520789146423,1
197,2,6,16.0,0,1,568.7603166053224,0.4443439973479081,0.007079130504280329,1
198,2,6,16.0,0,1,432.82133989175645,0.33814167179043475,0.5419618487358093,1
