,frame_pos,thresh_num,mid,tp,fp,px_err,norm_err,confidence,frame_is_rally
0,0,0,13.0,0,1,30.464103030575,0.01586672032842448,0.814751,0
1,0,0,10.0,0,1,23.037622472698285,0.011998761704530356,0.80878,0
2,0,1,13.0,0,1,30.464103030575,0.01586672032842448,0.814751,0
3,0,1,10.0,0,1,23.037622472698285,0.011998761704530356,0.80878,0
4,0,2,13.0,0,1,30.464103030575,0.01586672032842448,0.814751,0
5,0,2,10.0,0,1,23.037622472698285,0.011998761704530356,0.80878,0
6,0,3,13.0,0,1,30.464103030575,0.01586672032842448,0.814751,0
7,0,3,10.0,0,1,23.037622472698285,0.011998761704530356,0.80878,0
8,0,4,13.0,0,1,30.464103030575,0.01586672032842448,0.814751,0
9,0,4,10.0,0,1,23.037622472698285,0.011998761704530356,0.80878,0
10,0,5,13.0,0,1,30.464103030575,0.01586672032842448,0.814751,0
11,0,5,10.0,1,0,23.037622472698285,0.011998761704530356,0.80878,0
12,0,6,13.0,0,1,30.464103030575,0.01586672032842448,0.814751,0
13,0,6,10.0,1,0,23.037622472698285,0.011998761704530356,0.80878,0
14,0,7,13.0,1,0,30.464103030575,0.01586672032842448,0.814751,0
15,0,7,10.0,1,0,23.037622472698285,0.011998761704530356,0.80878,0
16,0,8,13.0,1,0,30.464103030575,0.01586672032842448,0.814751,0
17,0,8,10.0,1,0,23.037622472698285,0.011998761704530356,0.80878,0
18,0,9,13.0,1,0,30.464103030575,0.01586672032842448,0.814751,0
19,0,9,10.0,1,0,23.037622472698285,0.011998761704530356,0.80878,0
20,0,10,13.0,1,0,30.464103030575,0.01586672032842448,0.814751,0
21,0,10,10.0,1,0,23.037622472698285,0.011998761704530356,0.80878,0
22,1,0,10.0,0,1,15.069055533297986,0.007848466423592701,0.645616,0
23,1,1,10.0,0,1,15.069055533297986,0.007848466423592701,0.645616,0
24,1,2,10.0,0,1,15.069055533297986,0.007848466423592701,0.645616,0
25,1,3,10.0,0,1,15.069055533297986,0.007848466423592701,0.645616,0
26,1,4,10.0,1,0,15.069055533297986,0.007848466423592701,0.645616,0
27,1,5,10.0,1,0,15.069055533297986,0.007848466423592701,0.645616,0
28,1,6,10.0,1,0,15.069055533297986,0.007848466423592701,0.645616,0
29,1,7,10.0,1,0,15.069055533297986,0.007848466423592701,0.645616,0
30,1,8,10.0,1,0,15.069055533297986,0.007848466423592701,0.645616,0
31,1,9,10.0,1,0,15.069055533297986,0.007848466423592701,0.645616,0
32,1,10,10.0,1,0,15.069055533297986,0.007848466423592701,0.645616,0
33,7,0,10.0,0,1,24.94208503674917,0.012990669289973526,0.703646,0
34,7,1,10.0,0,1,24.94208503674917,0.012990669289973526,0.703646,0
35,7,2,10.0,0,1,24.94208503674917,0.012990669289973526,0.703646,0
36,7,3,10.0,0,1,24.94208503674917,0.012990669289973526,0.703646,0
37,7,4,10.0,0,1,24.94208503674917,0.012990669289973526,0.703646,0
38,7,5,10.0,1,0,24.94208503674917,0.012990669289973526,0.703646,0
39,7,6,10.0,1,0,24.94208503674917,0.012990669289973526,0.703646,0
40,7,7,10.0,1,0,24.94208503674917,0.012990669289973526,0.703646,0
41,7,8,10.0,1,0,24.94208503674917,0.012990669289973526,0.703646,0
42,7,9,10.0,1,0,24.94208503674917,0.012990669289973526,0.703646,0
43,7,10,10.0,1,0,24.94208503674917,0.012990669289973526,0.703646,0
44,8,0,10.0,0,1,70.08009330765282,0.03650004859773584,0.79975,0
45,8,1,10.0,0,1,70.08009330765282,0.03650004859773584,0.79975,0
46,8,2,10.0,0,1,70.08009330765282,0.03650004859773584,0.79975,0
47,8,3,10.0,0,1,70.08009330765282,0.03650004859773584,0.79975,0
48,8,4,10.0,0,1,70.08009330765282,0.03650004859773584,0.79975,0
49,8,5,10.0,0,1,70.08009330765282,0.03650004859773584,0.79975,0
50,8,6,10.0,0,1,70.08009330765282,0.03650004859773584,0.79975,0
51,8,7,10.0,0,1,70.08009330765282,0.03650004859773584,0.79975,0
52,8,8,10.0,0,1,70.08009330765282,0.03650004859773584,0.79975,0
53,8,9,10.0,0,1,70.08009330765282,0.03650004859773584,0.79975,0
54,8,10,10.0,0,1,70.08009330765282,0.03650004859773584,0.79975,0
55,10,0,13.0,0,1,24.669769457950398,0.012848838259349165,0.671715,0
56,10,0,10.0,0,1,10.74661178773957,0.005597193639447692,0.631744,0
57,10,1,13.0,0,1,24.669769457950398,0.012848838259349165,0.671715,0
58,10,1,10.0,0,1,10.74661178773957,0.005597193639447692,0.631744,0
59,10,2,13.0,0,1,24.669769457950398,0.012848838259349165,0.671715,0
60,10,2,10.0,0,1,10.74661178773957,0.005597193639447692,0.631744,0
61,10,3,13.0,0,1,24.669769457950398,0.012848838259349165,0.671715,0
62,10,3,10.0,1,0,10.74661178773957,0.005597193639447692,0.631744,0
63,10,4,13.0,0,1,24.669769457950398,0.012848838259349165,0.671715,0
64,10,4,10.0,1,0,10.74661178773957,0.005597193639447692,0.631744,0
65,10,5,13.0,1,0,24.669769457950398,0.012848838259349165,0.671715,0
66,10,5,10.0,1,0,10.74661178773957,0.005597193639447692,0.631744,0
67,10,6,13.0,1,0,24.669769457950398,0.012848838259349165,0.671715,0
68,10,6,10.0,1,0,10.74661178773957,0.005597193639447692,0.631744,0
69,10,7,13.0,1,0,24.669769457950398,0.012848838259349165,0.671715,0
70,10,7,10.0,1,0,10.74661178773957,0.005597193639447692,0.631744,0
71,10,8,13.0,1,0,24.669769457950398,0.012848838259349165,0.671715,0
72,10,8,10.0,1,0,10.74661178773957,0.005597193639447692,0.631744,0
73,10,9,13.0,1,0,24.669769457950398,0.012848838259349165,0.671715,0
74,10,9,10.0,1,0,10.74661178773957,0.005597193639447692,0.631744,0
75,10,10,13.0,1,0,24.669769457950398,0.012848838259349165,0.671715,0
76,10,10,10.0,1,0,10.74661178773957,0.005597193639447692,0.631744,0
77,11,0,13.0,0,1,575.0144802715946,0.29948670847478887,0.608035,0
78,11,1,13.0,0,1,575.0144802715946,0.29948670847478887,0.608035,0
79,11,2,13.0,0,1,575.0144802715946,0.29948670847478887,0.608035,0
80,11,3,13.0,0,1,575.0144802715946,0.29948670847478887,0.608035,0
81,11,4,13.0,0,1,575.0144802715946,0.29948670847478887,0.608035,0
82,11,5,13.0,0,1,575.0144802715946,0.29948670847478887,0.608035,0
83,11,6,13.0,0,1,575.0144802715946,0.29948670847478887,0.608035,0
84,11,7,13.0,0,1,575.0144802715946,0.29948670847478887,0.608035,0
85,11,8,13.0,0,1,575.0144802715946,0.29948670847478887,0.608035,0
86,11,9,13.0,0,1,575.0144802715946,0.29948670847478887,0.608035,0
87,11,10,13.0,0,1,575.0144802715946,0.29948670847478887,0.608035,0
88,12,0,13.0,0,1,17.18356799666878,0.00894977499826499,0.763931,0
89,12,0,13.0,0,1,54.958029566112565,0.028623973732350295,0.785303,0
90,12,0,10.0,0,1,39.66069686596038,0.020656612951021034,0.859608,0
91,12,1,13.0,0,1,17.18356799666878,0.00894977499826499,0.763931,0
92,12,1,13.0,0,1,54.958029566112565,0.028623973732350295,0.785303,0
93,12,1,10.0,0,1,39.66069686596038,0.020656612951021034,0.859608,0
94,12,2,13.0,0,1,17.18356799666878,0.00894977499826499,0.763931,0
95,12,2,13.0,0,1,54.958029566112565,0.028623973732350295,0.785303,0
96,12,2,10.0,0,1,39.66069686596038,0.020656612951021034,0.859608,0
97,12,3,13.0,0,1,17.18356799666878,0.00894977499826499,0.763931,0
98,12,3,13.0,0,1,54.958029566112565,0.028623973732350295,0.785303,0
99,12,3,10.0,0,1,39.66069686596038,0.020656612951021034,0.859608,0
100,12,4,13.0,1,0,17.18356799666878,0.00894977499826499,0.763931,0
101,12,4,13.0,0,1,54.958029566112565,0.028623973732350295,0.785303,0
