,video,algorithm,bins,rmse_td,nrmse_td,ssim_td,psnr_td,rmse_cam,nrmse_cam,ssim_cam,psnr_cam
36,V0_ALepper_EThomas,A2_POSENET,32,0.6649265896728715,0.44212736965399524,0.6857557136477525,18.62306435132401,0.6828963808560379,0.4663474669862748,0.8812834195221847,22.390164794444548
37,V0_ALepper_EThomas,A2_POSENET,64,0.6751330726570691,0.4558046657953753,0.6561725859507818,18.408012214992485,0.695281837833481,0.48341683402110297,0.8727546333254045,22.202051623884557
38,V0_ALepper_EThomas,A2_POSENET,128,0.6802804288993423,0.462781461943473,0.6331311152520191,18.298058692807967,0.7011268501953638,0.4915788600648721,0.8660168648970157,22.096905295654203
39,V0_ALepper_EThomas,A2_POSENET,256,0.6829276361577634,0.4663901562280305,0.6189843597211094,18.240754978088376,0.7038267582973525,0.49537210569535983,0.8619404350739592,22.04449171582055
40,V1_APalmer_NSayes,A0_ARTTRACK,2,0.425442236592367,0.18100109667671557,0.9458821452189955,23.98384893382304,0.33808644280752775,0.11430244281024772,0.9786698574800614,28.232514423183176
41,V1_APalmer_NSayes,A0_ARTTRACK,4,0.5811579058436902,0.33774451152462354,0.8037773706616487,20.93022985451401,0.5067373990592418,0.2567827916053252,0.9201136592555151,24.720217110982283
42,V1_APalmer_NSayes,A0_ARTTRACK,8,0.6606439021503991,0.4364503654485062,0.7398525934632082,20.151919438094367,0.6256669680074746,0.39145915485566624,0.8986734337730024,23.95190074292036
43,V1_APalmer_NSayes,A0_ARTTRACK,16,0.7118277360639753,0.5066987258299646,0.7273223735007146,19.527645303770843,0.7146184269154193,0.5106794960870685,0.8928521936777943,23.28080406826832
44,V1_APalmer_NSayes,A0_ARTTRACK,32,0.7390952410243773,0.5462617753048823,0.7047076169138752,19.139551839282692,0.7586619534097154,0.5755679595514452,0.8845404729862576,22.903802063125887
45,V1_APalmer_NSayes,A0_ARTTRACK,64,0.7531768488720448,0.5672753656768231,0.6766844434644731,18.915487755533444,0.7779357711017653,0.605184063959698,0.8750188222063544,22.6943489654203
46,V1_APalmer_NSayes,A0_ARTTRACK,128,0.7601462135545874,0.5778222659813765,0.6553028764416363,18.7986431742016,0.7863241535906345,0.6183056745200276,0.8678157254870034,22.583380831909924
47,V1_APalmer_NSayes,A0_ARTTRACK,256,0.7636602597045997,0.5831769922520967,0.6420782457255708,18.73658065313533,0.7901753384653456,0.6243770655188234,0.8633632518889769,22.52568682691434
48,V1_APalmer_NSayes,A1F0_OPENPOSE_BODY25,2,0.41361646169748,0.17107857738714294,0.9651133123202007,24.47356045471674,0.33012500660965993,0.10898251998902803,0.9859418921924873,28.646487746816234
49,V1_APalmer_NSayes,A1F0_OPENPOSE_BODY25,4,0.5827550988640766,0.33960350525207966,0.8459322634062469,20.88255257637457,0.5069459461241299,0.2569941922916892,0.9383466685872287,24.71306925036437
50,V1_APalmer_NSayes,A1F0_OPENPOSE_BODY25,8,0.6642313889598964,0.4412033380795933,0.7775834544691822,20.0578408757649,0.6350323352437358,0.4032660668051124,0.9083398346059673,23.693796237071204
51,V1_APalmer_NSayes,A1F0_OPENPOSE_BODY25,16,0.7146589059296835,0.5107373518246122,0.767224596403561,19.458689140942916,0.7261905753349535,0.5273527517053107,0.9006832992944592,23.001748162011033
52,V1_APalmer_NSayes,A1F0_OPENPOSE_BODY25,32,0.7408595847608627,0.5488729243320378,0.7492754455161003,19.098131920317936,0.7715121609133551,0.5952310144371947,0.8896859210346149,22.612023220088822
