,annotations,annotations_per_frame,non_rally_frames,non_rally_frames_perc,rally_frames,rally_frames_perc,total_frames,video
0,7253.0,3.8457051961823967,856.0,0.45387062566277836,1030.0,0.5461293743372216,1886.0,V0_ALepper_EThomas
1,3346.0,3.850402761795167,484.0,0.5569620253164557,385.0,0.4430379746835443,869.0,V1_APalmer_NSayes
2,572.0,3.9178082191780823,20.0,0.136986301369863,126.0,0.863013698630137,146.0,V2_RAshour_GGaultier
3,5075.0,3.546470999301188,625.0,0.43675751222921033,806.0,0.5632424877707897,1431.0,V3_RKandra_IBernabeu
